id,name,Status,Release_Date,Genre,Language,Director,Color,Censor_Details,Censor_Dates,Censor_Certificate_No,Runtime,Certification,Length_in_metres,Banner,Music_Company,Studio,Shooting_Location
545601,Men Will Be Men,{},29 Apr 2011,Comedy,Hindi,Gorky,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Red Chillies Entertainment|Idiot Box Film|PVR Pictures,"","",""
54537,Koi Aap Sa,{},14 Oct 2005,Romance,Hindi,Partho Mitra,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Balaji Telefilms Ltd,T-Series,"",""
542221,Kahaani,Released,9 Mar 2012,"Drama, Thriller",Hindi,Sujoy Ghosh,C,{},23 Feb 2012,Not Available.,Not Available.,Not Available.,3347.85,Pen India Pvt. Ltd|Viacom 18 Motion Pictures|Boundscript Motion Pictures Pvt Ltd,T-Series,"",""
505338,Dolti Naiya,{},1 Jan 1950,Romance,Hindi,Mirza Musharraf,B,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Shan-E-Hind Pictures,"","",""
540208,Pratigya,{},1 Jan 1943,Social,Hindi,Nandalal Jaswantlal,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Chitra Prod,"","",""
508403,Postman,{},1 Jan 1938,Social,Hindi,Zia Sarhadi,B,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,"","","",""
503876,Boomerang,{},1 Jan 2007,Thriller,English,Mukund Moorthy,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Why Infotainment,"","",""
551537,Ab Tak Chhappan 2,Released,27 Feb 2015,Crime,Hindi,Aejaz Gulab,C,{},23 Feb 2015,DIL/2/35/2015,105 Minutes,U/A,0.0,Alumbra Entertainment| Wave Cinemas Ponty Chadha Presents,"","",""
539933,Mere Lal,{},1 Jan 1948,Family Drama,Hindi,Bal Gajdar,B,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Maharashtra Ch,"","",""
503635,Inteqam,{},29 Oct 2004,{},Hindi,Pankaj Parashar,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Sahara One,Times Music,"",""
534497,Betaj Badshah,{},8 Apr 1994,"Drama, Action",Hindi,Iqbal Durrani,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,"","","",""
539038,Chalbaaz,{},8 Dec 1989,"Comedy, Action, Musical, Family Drama",Hindi,Pankaj Parashar,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Lakshmi Production,T-Series,"",""
5547464,Pixels (English),Released,31 Jul 2015,Action,Hindi,Chris Columbus,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,"","","",""
509035,Jigyaasa,{},10 Mar 2006,Social,Hindi,Faisal Saif,C,{},Not Available.,CIL/3/11/2006,Not Available.,A,0.0,Chand Films,Das Music,"",""
55927,Sahibaan,Released,16 Jul 1993,"Drama, Romance",Hindi,Ramesh Talwar,C,{},Not Available.,Not Available.,Not Available.,NA,0.0,Parul Films International,T-Series,"",""
7180312,Ishq Vs Luv,Under Production,2016,"Romantic, Comedy",Hindi,Rohit Raj,{},{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,"","","",""
534446,Feel - The Touch,{},7 Dec 2007,{},Hindi,Shakeel Saifee,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,S K Cine Vision,"","",""
548827,Love Possible,Released,16 Mar 2012,Romance,Hindi,J H Nakra,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,JHN Production,"","",""
200437,Chand Ke Paar Chalo,{},31 Mar 2006,{},Hindi,Mustafa Engineer,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Sahil entertainment P. Ltd.,Saregama-HMV,"",""
540153,Parwana,{},12 Sep 2003,Action,Hindi,Deepak Bahry,C,{},1 Sep 2003,CIL/3/75/2003,Not Available.,A,3842.56,Bahry Films,Saregama-HMV,"",""
5791766,Halla Gulla,Under Production,2016,Comedy,Hindi,Kamran Akbar Khan,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Sagar Entertainment|Carnival Films,"","",""
5856181,Soul,Under Production,2016,Drama,Hindi,Mehmood Ali,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Pen N Camera International,"","",""
547266,9 Eleven,Released,7 Oct 2011,Thriller,Hindi,Manan Singh Katohora,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Amar Durga Films|JMD Creations,"","",""
4124618,Great Grand Masti,Completed,15 Jul 2016,Comedy,Hindi,Indra Kumar,C,{},Not Available.,Not Available.,133 Minutes,Not Available.,0.0, Maruti International| ALT Entertainment|Shri Adhikari Bros,Zee Music Company,"",""
758174,Kyaa Kool Hain Hum 3,Released,22 Jan 2016,Porn-Com,Hindi,Umesh Ghadge,C,{},Not Available.,Not Available.,131 Minutes,Not Available.,0.0,Balaji Motion Pictures|ALT Entertainment,Zee Music Company,"",""
4850814,Tom Dick And Harry 2,Under Production,2016,{},Hindi,Deepak Tijori,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,"","","",""
549877,Grand Masti,Released,13 Sep 2013,Comedy,Hindi,Indra Kumar,C,{},14 Jun 2013,DIL/3/60/2013,137 Minutes,A,0.0,Maruti International,T-Series,"",""
507074,Hum Tum..Woh,Stuck/On Hold,2012,{},Hindi,Rajat Rawail,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Padmini Telemedia,"","",""
542340,Bin Bulaye Baarati,Released,17 Jun 2011,"Comedy, Action, Social",Hindi,Chandrakant Singh,C,{},10 Jun 2011,CIL/2/67/2011,Not Available.,U/A,0.0,Dhanraj Film Pvt Ltd,T-Series,"",""
503892,Bread Butter and Cash,Under Production,2011,Thriller,Hindi,Sarthak Dasgupta,C,{},Not Available.,Not Available.,Not Available.,NA,0.0,White Feather Films,"","",""
54522,Jaane Hoga Kya,Released,1 Sep 2006,{},Hindi,Ankush,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,P K Arts Creations,T-Series,"",""
540350,Shaadi Se Pehle,{},4 Jun 2006,Comedy,Hindi,Satish Kaushik,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Mukta Arts Ltd,Tips Music Films,"",""
538522,Ankahee,{},19 May 2006,"Drama, Social, Biographical, Thriller",Hindi,Vikram Bhatt,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Pritish Nandy Communications,T-Series,"",""
508087,Mr Ya Miss,{},2 Dec 2005,"Comedy, Fantasy",Hindi,Satchit Puranik,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Horseshoe Pictures Pvt Ltd|Factory|Sahara One,T-Series,"",""
539794,Loot,Shelved,1 Jan 2005,{},Hindi,Prawaal Raman,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Factory,"","",""
505357,Dost - My Best Friend,{},1 Jan 2004,{},Hindi,Veena Bakshi,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Star I.C.E Management Pvt Ltd,T-Series,"",""
201851,Hungama,{},1 Aug 2003,"Comedy, Drama, Action, Romance",Hindi,Priyadarshan,C,{},Not Available.,CIL/1/56/2003,Not Available.,B,0.0,Venus Records & Tapes,Venus Records & Tapes,"",""
201854,Kya Yehi Pyaar Hai,{},22 Mar 2002,{},Hindi,K Murali Mohan Rao,C,{},Not Available.,CIL/3/81/2002,Not Available.,B,0.0,Tips Music Films,Tips Music Films,"",""
201877,Koi Mere Dil Se Poochhe,{},11 Jan 2002,{},Hindi,Vinay Shukla,C,{},Not Available.,CIL/2/47/2001,Not Available.,B,0.0,S K Films Enterprises,Tips Music Films,"",""
